"","tf","es","lens","pvals","z","qvals"
"AR","AR",0.497933719570543,299,0,3.93523688983282,0
"BRCA1","BRCA1",0.610959904356367,70,0,3.78254917383563,0
"E2F1","E2F1",0.474337525665203,693,0,4.9061319058236,0
"E2F4","E2F4",0.493474679590752,287,0,3.69304193491613,0
"EGR1","EGR1",0.568881440366824,144,0,4.50540436107019,0
"ESR1","ESR1",0.558338470026243,149,0,4.23884553886137,0
"HIF1A","HIF1A",0.576995935456148,143,0,4.67042320877891,0
"KLF4","KLF4",0.706422115131827,37,0,3.88682984547711,0
"MYC","MYC",0.488007896707195,831,0,6.27434128074062,0
"NFKB1","NFKB1",0.498866317108436,429,0,4.87973516942317,0
"PAX6","PAX6",0.761381925356871,19,0,2.81032562448943,0
"RELA","RELA",0.497768967469366,357,0,4.36509917423294,0
"SMAD3","SMAD3",0.588257645721449,87,0,3.79642060555828,0
"SP1","SP1",0.48632352494919,638,0,5.31662346873848,0
"STAT3","STAT3",0.538478082955966,199,0,4.44294044556881,0
"TFAP2A","TFAP2A",0.529398695745317,312,0,5.2452651580514,0
"TP53","TP53",0.525331714847305,355,0,5.53787604463376,0
"TWIST2","TWIST2",0.789253392759182,24,0,3.80426614587298,0
"WT1","WT1",0.63056161747763,71,0,4.13447479533918,0
"FOS","FOS",0.553872947037105,107,1e-04,3.41777430340467,0.00135217391304348
"IRF9","IRF9",0.781763874251157,15,1e-04,2.42247876393763,0.00135217391304348
"JUN","JUN",0.482992118800065,328,1e-04,3.5602869938534,0.00135217391304348
"TWIST1","TWIST1",0.711658520638789,34,1e-04,3.80280596837826,0.00135217391304348
"HOXB7","HOXB7",0.811809394356036,12,2e-04,2.12267556316076,0.00259166666666667
"E2F2","E2F2",0.500031111509787,196,3e-04,3.16835969791611,0.003732
"SNAI1","SNAI1",0.787108347658096,13,4e-04,2.12926777197478,0.00478461538461539
"ETV4","ETV4",0.570645784099963,82,6e-04,3.27676839552599,0.00666428571428571
"SRF","SRF",0.664113850006738,30,6e-04,2.91625499174355,0.00666428571428571
"SMAD4","SMAD4",0.557287710977332,78,9e-04,2.9480595813956,0.00965172413793103
"ZEB1","ZEB1",0.792809631671292,12,0.001,1.98793652266009,0.0103666666666667
"SMAD7","SMAD7",0.681259078241447,25,0.0012,2.68153053471567,0.0120387096774194
"CTNNB1","CTNNB1",0.56385282996819,73,0.0013,2.94715101546955,0.012634375
"NPAS2","NPAS2",0.760678836891981,13,0.0014,1.99950707231053,0.0131939393939394
"JUND","JUND",0.622439923819245,37,0.0015,2.69971380527767,0.0137205882352941
"SIRT1","SIRT1",0.587247270432884,54,0.0019,2.81935531588763,0.0168828571428571
"CDX1","CDX1",0.80904038845349,8,0.0023,1.455890635763,0.0198694444444444
"PER2","PER2",0.716163179303796,17,0.0026,2.27291840237003,0.0218540540540541
"ATF4","ATF4",0.562641185165207,63,0.0027,2.66260044430857,0.0220973684210526
"PIAS2","PIAS2",0.731068274970739,14,0.0029,1.94413469138722,0.0225475
"PPARD","PPARD",0.598678417823833,46,0.0029,2.73406704920745,0.0225475
"STAT5B","STAT5B",0.574987180656129,53,0.003,2.59144724516669,0.0227560975609756
"SP3","SP3",0.493866613797547,160,0.0031,2.6494757064168,0.0229547619047619
"HDAC1","HDAC1",0.537505471439097,81,0.0033,2.60117160865397,0.0238674418604651
"SMURF2","SMURF2",0.683788254799164,20,0.0035,2.22473219625605,0.0246208333333333
"ESR2","ESR2",0.60193370585983,40,0.0037,2.55896013948546,0.0246208333333333
"KAT2B","KAT2B",0.705589626540587,16,0.0038,2.00912774035735,0.0246208333333333
"RB1","RB1",0.589829740182683,45,0.0038,2.53472399071717,0.0246208333333333
"SPDEF","SPDEF",0.784001249897556,10,0.0038,1.62514722276995,0.0246208333333333
"REL","REL",0.609575865895879,37,0.004,2.56839946462456,0.0253877551020408
"TCF4","TCF4",0.638828595783128,27,0.0045,2.43918569073945,0.0274411764705882
"VDR","VDR",0.591339756233685,42,0.0045,2.46446517303456,0.0274411764705882
"ARNT","ARNT",0.649442206844671,23,0.0047,2.17907342769279,0.0276444444444444
"NR4A1","NR4A1",0.714277685042018,15,0.0048,1.960767850257,0.0276444444444444
"RUNX3","RUNX3",0.627423384205929,29,0.0048,2.36788104505401,0.0276444444444444
"PPARG","PPARG",0.496973397401725,135,0.0055,2.45238345072432,0.0311
"STAT1","STAT1",0.489338805152099,154,0.0062,2.44193256710704,0.0344321428571429
"TFAP2C","TFAP2C",0.759112093226571,10,0.0065,1.51934177993989,0.0354649122807018
